GenBank_ID	Country	State	City	Serotype	Date	Decimal_Date	Sequence_name
PP269722.1	Viet_Nam	NA	NA	Dengue_1	2015-10-21	2015.80273972603	PP269722.1|Viet_Nam|NA|NA|Dengue_1|2015-10-21|2015.80273972603
PP269723.1	Viet_Nam	NA	NA	Dengue_1	2015-11-02	2015.83561643836	PP269723.1|Viet_Nam|NA|NA|Dengue_1|2015-11-02|2015.83561643836
PP269724.1	Viet_Nam	NA	NA	Dengue_1	2015-11-04	2015.84109589041	PP269724.1|Viet_Nam|NA|NA|Dengue_1|2015-11-04|2015.84109589041
PP269725.1	Viet_Nam	NA	NA	Dengue_1	2015-11-11	2015.8602739726	PP269725.1|Viet_Nam|NA|NA|Dengue_1|2015-11-11|2015.8602739726
PP269726.1	Viet_Nam	NA	NA	Dengue_1	2015-11-27	2015.90410958904	PP269726.1|Viet_Nam|NA|NA|Dengue_1|2015-11-27|2015.90410958904
PP269727.1	Viet_Nam	NA	NA	Dengue_1	2015-11-30	2015.91232876712	PP269727.1|Viet_Nam|NA|NA|Dengue_1|2015-11-30|2015.91232876712
PP269728.1	Viet_Nam	NA	NA	Dengue_1	2015-12-02	2015.91780821918	PP269728.1|Viet_Nam|NA|NA|Dengue_1|2015-12-02|2015.91780821918
PP269729.1	Viet_Nam	NA	NA	Dengue_1	2015-12-08	2015.93424657534	PP269729.1|Viet_Nam|NA|NA|Dengue_1|2015-12-08|2015.93424657534
PP269730.1	Viet_Nam	NA	NA	Dengue_1	2015-12-14	2015.95068493151	PP269730.1|Viet_Nam|NA|NA|Dengue_1|2015-12-14|2015.95068493151
PP269731.1	Viet_Nam	NA	NA	Dengue_1	2015-12-16	2015.95616438356	PP269731.1|Viet_Nam|NA|NA|Dengue_1|2015-12-16|2015.95616438356
PP269732.1	Viet_Nam	NA	NA	Dengue_1	2015-12-18	2015.96164383562	PP269732.1|Viet_Nam|NA|NA|Dengue_1|2015-12-18|2015.96164383562
PP269733.1	Viet_Nam	NA	NA	Dengue_1	2015-12-18	2015.96164383562	PP269733.1|Viet_Nam|NA|NA|Dengue_1|2015-12-18|2015.96164383562
PP269734.1	Viet_Nam	NA	NA	Dengue_1	2015-12-21	2015.9698630137	PP269734.1|Viet_Nam|NA|NA|Dengue_1|2015-12-21|2015.9698630137
PP269735.1	Viet_Nam	NA	NA	Dengue_1	2015-12-22	2015.97260273973	PP269735.1|Viet_Nam|NA|NA|Dengue_1|2015-12-22|2015.97260273973
PP269736.1	Viet_Nam	NA	NA	Dengue_1	2015-12-31	2015.99726027397	PP269736.1|Viet_Nam|NA|NA|Dengue_1|2015-12-31|2015.99726027397
