"traits"	"location"
"PP269982.1|Viet_Nam|NA|NA|Dengue_4|2011-12-16|2011.95616438356"	"Southern_Vietnam"
"PP269983.1|Viet_Nam|NA|NA|Dengue_4|2011-12-29|2011.99178082192"	"Southern_Vietnam"
"PP269994.1|Viet_Nam|NA|NA|Dengue_4|2015-09-07|2015.68219178082"	"Southern_Vietnam"
"PP269989.1|Viet_Nam|NA|NA|Dengue_4|2012-12-10|2012.9397260274"	"Southern_Vietnam"
"PP270000.1|Viet_Nam|NA|NA|Dengue_4|2015-10-20|2015.8"	"Southern_Vietnam"
"PP269991.1|Viet_Nam|NA|NA|Dengue_4|2013-06-12|2013.44383561644"	"Southern_Vietnam"
"PP269998.1|Viet_Nam|NA|NA|Dengue_4|2015-07-15|2015.53424657534"	"Southern_Vietnam"
"PP270002.1|Viet_Nam|NA|NA|Dengue_4|2013-03-09|2013.18356164384"	"Southern_Vietnam"
"PP270016.1|Viet_Nam|NA|NA|Dengue_4|2015-01-15|2015.03835616438"	"Southern_Vietnam"
"PP270021.1|Viet_Nam|NA|NA|Dengue_4|2014-11-25|2014.89863013699"	"Southern_Vietnam"
"PP270022.1|Viet_Nam|NA|NA|Dengue_4|2014-12-02|2014.91780821918"	"Southern_Vietnam"
"PP270018.1|Viet_Nam|NA|NA|Dengue_4|2013-09-06|2013.67945205479"	"Southern_Vietnam"
"PP270019.1|Viet_Nam|NA|NA|Dengue_4|2014-01-08|2014.01917808219"	"Southern_Vietnam"
"PP270031.1|Viet_Nam|NA|NA|Dengue_4|2015-06-15|2015.45205479452"	"Southern_Vietnam"
"PP270033.1|Viet_Nam|NA|NA|Dengue_4|2015-11-02|2015.83561643836"	"Southern_Vietnam"
"PP270046.1|Viet_Nam|NA|NA|Dengue_4|2014-11-11|2014.8602739726"	"Southern_Vietnam"
"PP270047.1|Viet_Nam|NA|NA|Dengue_4|2014-11-12|2014.86301369863"	"Southern_Vietnam"
"PP270049.1|Viet_Nam|NA|NA|Dengue_4|2014-11-04|2014.84109589041"	"Southern_Vietnam"
"PP396732.1|Cambodia|NA|NA|Dengue_4|2022-02-14|2022.12054794521"	"Cambodia"
"OR136172.1|Indonesia|NA|NA|Dengue_4|2023-06-01|2023.41369863014"	"Indonesia"
"OQ521648.1|Viet_Nam|NA|NA|Dengue_4|2022-04-15|2022.28493150685"	"Southern_Vietnam"
"OR389040.1|Cambodia|NA|NA|Dengue_4|2011-06-15|2011.45205479452"	"Cambodia"
"OQ521653.1|Viet_Nam|NA|NA|Dengue_4|2022-05-15|2022.36712328767"	"Southern_Vietnam"
"OQ521655.1|Viet_Nam|NA|NA|Dengue_4|2022-06-15|2022.45205479452"	"Southern_Vietnam"
"OQ521656.1|Viet_Nam|NA|NA|Dengue_4|2022-06-15|2022.45205479452"	"Southern_Vietnam"
"OQ521657.1|Viet_Nam|NA|NA|Dengue_4|2022-06-15|2022.45205479452"	"Southern_Vietnam"
"OR389045.1|Myanmar|NA|NA|Dengue_4|2008-06-15|2008.45205479452"	"Myanmar"
"OQ678015.1|Cambodia|NA|NA|Dengue_4|2019-10-21|2019.80273972603"	"Cambodia"
"OQ579514.1|Philippines|NA|NA|Dengue_4|2016-06-15|2016.45205479452"	"Philippines"
"OQ579516.1|Philippines|NA|NA|Dengue_4|2016-06-15|2016.45205479452"	"Philippines"
"OQ521658.1|Viet_Nam|NA|NA|Dengue_4|2022-05-15|2022.36712328767"	"Southern_Vietnam"
"OQ579529.1|Philippines|NA|NA|Dengue_4|2017-03-15|2017.2"	"Philippines"
"OQ521659.1|Viet_Nam|NA|NA|Dengue_4|2022-05-15|2022.36712328767"	"Southern_Vietnam"
"OQ426987.1|Viet_Nam|Nha_Trang|NA|Dengue_4|2017-09-06|2017.67945205479"	"Central_Vietnam"
"OQ426985.1|Viet_Nam|Nha_Trang|NA|Dengue_4|2017-02-17|2017.12876712329"	"Central_Vietnam"
"OQ426983.1|Viet_Nam|Nha_Trang|NA|Dengue_4|2017-09-06|2017.67945205479"	"Central_Vietnam"
"OQ426984.1|Viet_Nam|Nha_Trang|NA|Dengue_4|2017-01-03|2017.00547945205"	"Central_Vietnam"
"OQ426988.1|Viet_Nam|Nha_Trang|NA|Dengue_4|2017-09-14|2017.70136986301"	"Central_Vietnam"
"OQ426999.1|Viet_Nam|Nha_Trang|NA|Dengue_4|2019-04-10|2019.27123287671"	"Central_Vietnam"
"OQ426997.1|Viet_Nam|Nha_Trang|NA|Dengue_4|2019-03-04|2019.1698630137"	"Central_Vietnam"
"OQ427008.1|Viet_Nam|Nha_Trang|NA|Dengue_4|2017-12-18|2017.96164383562"	"Central_Vietnam"
"OQ427002.1|Viet_Nam|Nha_Trang|NA|Dengue_4|2017-08-23|2017.64109589041"	"Central_Vietnam"
"OQ427003.1|Viet_Nam|Nha_Trang|NA|Dengue_4|2017-08-28|2017.65479452055"	"Central_Vietnam"
"OQ427005.1|Viet_Nam|Nha_Trang|NA|Dengue_4|2017-08-11|2017.60821917808"	"Central_Vietnam"
"OQ427010.1|Viet_Nam|Nha_Trang|NA|Dengue_4|2018-01-08|2018.01917808219"	"Central_Vietnam"
"OQ427007.1|Viet_Nam|Nha_Trang|NA|Dengue_4|2017-09-21|2017.72054794521"	"Central_Vietnam"
"OQ427015.1|Viet_Nam|Nha_Trang|NA|Dengue_4|2018-06-10|2018.43835616438"	"Central_Vietnam"
"OQ427017.1|Viet_Nam|Nha_Trang|NA|Dengue_4|2018-07-01|2018.49589041096"	"Central_Vietnam"
"OQ427027.1|Viet_Nam|Nha_Trang|NA|Dengue_4|2018-11-13|2018.86575342466"	"Central_Vietnam"
"OQ427023.1|Viet_Nam|Nha_Trang|NA|Dengue_4|2018-10-15|2018.78630136986"	"Central_Vietnam"
"OQ427025.1|Viet_Nam|Nha_Trang|NA|Dengue_4|2018-10-30|2018.82739726027"	"Central_Vietnam"
"OQ427037.1|Viet_Nam|Nha_Trang|NA|Dengue_4|2018-12-21|2018.9698630137"	"Central_Vietnam"
"OQ427039.1|Viet_Nam|Nha_Trang|NA|Dengue_4|2019-01-03|2019.00547945205"	"Central_Vietnam"
"OQ427049.1|Viet_Nam|Nha_Trang|NA|Dengue_4|2019-01-21|2019.05479452055"	"Central_Vietnam"
"OQ427044.1|Viet_Nam|Nha_Trang|NA|Dengue_4|2019-01-11|2019.02739726027"	"Central_Vietnam"
"OQ427043.1|Viet_Nam|Nha_Trang|NA|Dengue_4|2019-01-10|2019.02465753425"	"Central_Vietnam"
"OQ427050.1|Viet_Nam|Nha_Trang|NA|Dengue_4|2019-01-21|2019.05479452055"	"Central_Vietnam"
"OQ427053.1|Viet_Nam|Nha_Trang|NA|Dengue_4|2019-02-14|2019.12054794521"	"Central_Vietnam"
"OQ427057.1|Viet_Nam|Nha_Trang|NA|Dengue_4|2018-10-30|2018.82739726027"	"Central_Vietnam"
"OQ427051.1|Viet_Nam|Nha_Trang|NA|Dengue_4|2019-01-25|2019.06575342466"	"Central_Vietnam"
"OQ427047.1|Viet_Nam|Nha_Trang|NA|Dengue_4|2019-01-15|2019.03835616438"	"Central_Vietnam"
"OP941689.1|Indonesia|Bengkulu|NA|Dengue_4|2021-03-14|2021.19726027397"	"Indonesia"
"OP941688.1|Indonesia|Bengkulu|NA|Dengue_4|2020-12-12|2020.94520547945"	"Indonesia"
"OQ427059.1|Viet_Nam|Nha_Trang|NA|Dengue_4|2018-11-23|2018.89315068493"	"Central_Vietnam"
"OP503404.1|Viet_Nam|NA|NA|Dengue_4|2013-12-02|2013.91780821918"	"Southern_Vietnam"
"OP503405.1|Viet_Nam|NA|NA|Dengue_4|2012-03-17|2012.20547945205"	"Southern_Vietnam"
"OP503409.1|Viet_Nam|NA|NA|Dengue_4|2013-11-28|2013.90684931507"	"Southern_Vietnam"
"OP503414.1|Viet_Nam|NA|NA|Dengue_4|2013-12-11|2013.94246575342"	"Southern_Vietnam"
"OP503410.1|Viet_Nam|NA|NA|Dengue_4|2014-02-24|2014.14794520548"	"Southern_Vietnam"
"OP503425.1|Viet_Nam|NA|NA|Dengue_4|2013-12-14|2013.95068493151"	"Southern_Vietnam"
"OP411002.1|Singapore|NA|NA|Dengue_4|2019-07-15|2019.53424657534"	"Singapore"
"OP600478.1|Malaysia|NA|NA|Dengue_4|2020-08-15|2020.61917808219"	"Malaysia"
"OP503438.1|Viet_Nam|NA|NA|Dengue_4|2012-08-24|2012.64383561644"	"Southern_Vietnam"
"OP600506.1|Malaysia|NA|NA|Dengue_4|2020-07-15|2020.53424657534"	"Malaysia"
"OP600509.1|Malaysia|NA|NA|Dengue_4|2022-07-15|2022.53424657534"	"Malaysia"
"ON045739.1|Thailand|NA|NA|Dengue_4|2003-07-01|2003.49589041096"	"Thailand"
"OM639995.1|India|Uttar_Pradesh|NA|Dengue_4|2021-11-16|2021.87397260274"	"India"
"MZ636829.1|Thailand|Bangkok|NA|Dengue_4|2020-08-29|2020.65753424658"	"Thailand"
