"traits"	"location"
"PP269948.1|Viet_Nam|NA|NA|Dengue_3|2013-08-27|2013.65205479452"	"Southern_Vietnam"
"PP269951.1|Viet_Nam|NA|NA|Dengue_3|2012-09-17|2012.7095890411"	"Southern_Vietnam"
"PP269955.1|Viet_Nam|NA|NA|Dengue_3|2012-12-07|2012.93150684932"	"Southern_Vietnam"
"PP269944.1|Viet_Nam|NA|NA|Dengue_3|2012-10-26|2012.81643835616"	"Southern_Vietnam"
"PP269947.1|Viet_Nam|NA|NA|Dengue_3|2012-01-30|2012.07945205479"	"Southern_Vietnam"
"PP269952.1|Viet_Nam|NA|NA|Dengue_3|2012-11-08|2012.85205479452"	"Southern_Vietnam"
"PP269950.1|Viet_Nam|NA|NA|Dengue_3|2012-01-05|2012.01095890411"	"Southern_Vietnam"
"PP269945.1|Viet_Nam|NA|NA|Dengue_3|2011-05-17|2011.37260273973"	"Southern_Vietnam"
"PP269964.1|Viet_Nam|NA|NA|Dengue_3|2012-12-26|2012.98356164384"	"Southern_Vietnam"
"PP269961.1|Viet_Nam|NA|NA|Dengue_3|2013-11-12|2013.86301369863"	"Southern_Vietnam"
"PP269960.1|Viet_Nam|NA|NA|Dengue_3|2013-10-10|2013.77260273973"	"Southern_Vietnam"
"PP269967.1|Viet_Nam|NA|NA|Dengue_3|2014-12-03|2014.92054794521"	"Southern_Vietnam"
"PP269958.1|Viet_Nam|NA|NA|Dengue_3|2013-03-15|2013.2"	"Southern_Vietnam"
"PP269970.1|Viet_Nam|NA|NA|Dengue_3|2014-02-25|2014.15068493151"	"Southern_Vietnam"
"PP269957.1|Viet_Nam|NA|NA|Dengue_3|2013-01-24|2013.06301369863"	"Southern_Vietnam"
"PP269976.1|Viet_Nam|NA|NA|Dengue_3|2015-03-25|2015.22739726027"	"Southern_Vietnam"
"OR875976.1|Indonesia|NA|NA|Dengue_3|2022-11-15|2022.87123287671"	"Indonesia"
"PP269975.1|Viet_Nam|NA|NA|Dengue_3|2013-10-15|2013.78630136986"	"Southern_Vietnam"
"PP269977.1|Viet_Nam|NA|NA|Dengue_3|2015-08-24|2015.64383561644"	"Southern_Vietnam"
"PP269971.1|Viet_Nam|NA|NA|Dengue_3|2014-10-14|2014.78356164384"	"Southern_Vietnam"
"PP234925.1|Philippines|NA|NA|Dengue_3|2018-07-01|2018.49589041096"	"Philippines"
"PP087306.1|India|NA|NA|Dengue_3|2017-12-10|2017.9397260274"	"India"
"OR364401.1|China|Guangzhou|NA|Dengue_3|2023-06-20|2023.46575342466"	"Guangdong"
"OR364402.1|China|Guangzhou|NA|Dengue_3|2023-06-15|2023.45205479452"	"Guangdong"
"OQ579393.1|Philippines|NA|NA|Dengue_3|2015-08-15|2015.61917808219"	"Philippines"
"OQ579394.1|Philippines|NA|NA|Dengue_3|2015-08-15|2015.61917808219"	"Philippines"
"OP941684.1|Indonesia|Bengkulu|NA|Dengue_3|2021-05-19|2021.37808219178"	"Indonesia"
"OP410996.1|Singapore|NA|NA|Dengue_3|2019-11-15|2019.87123287671"	"Singapore"
"OP410997.1|Singapore|NA|NA|Dengue_3|2019-01-15|2019.03835616438"	"Singapore"
"ON911794.1|China|NA|NA|Dengue_3|2018-07-15|2018.53424657534"	"Sichuan"
"ON055504.1|Thailand|NA|NA|Dengue_3|2004-10-12|2004.77808219178"	"Thailand"
"OP164335.1|India|NA|NA|Dengue_3|2019-10-11|2019.77534246575"	"India"
"ON055511.1|Thailand|NA|NA|Dengue_3|2009-04-27|2009.31780821918"	"Thailand"
"ON055513.1|Thailand|NA|NA|Dengue_3|2009-05-27|2009.4"	"Thailand"
"ON055551.1|Thailand|NA|NA|Dengue_3|2012-08-17|2012.62465753425"	"Thailand"
"ON123655.1|India|NA|NA|Dengue_3|2020-06-15|2020.45205479452"	"India"
"OK180539.1|Indonesia|Yogyakarta|NA|Dengue_3|2016-05-27|2016.4"	"Indonesia"
"MZ636813.1|Thailand|Bangkok|NA|Dengue_3|2018-10-10|2018.77260273973"	"Thailand"
"MZ636817.1|Thailand|Bangkok|NA|Dengue_3|2020-01-02|2020.00273972603"	"Thailand"
"MW946659.1|Thailand|NA|NA|Dengue_3|2013-06-15|2013.45205479452"	"Thailand"
"MW946685.1|Thailand|NA|NA|Dengue_3|2003-06-15|2003.45205479452"	"Thailand"
"MW946786.1|Thailand|NA|NA|Dengue_3|2001-06-15|2001.45205479452"	"Thailand"
"MW946820.1|Thailand|NA|NA|Dengue_3|2003-06-15|2003.45205479452"	"Thailand"
"MW648232.1|Indonesia|Malinau|NA|Dengue_3|2018-10-02|2018.75068493151"	"Indonesia"
