"traits"	"location"
"PP269726.1|Viet_Nam|NA|NA|Dengue_1|2015-11-27|2015.90410958904"	"Southern_Vietnam"
"PP269731.1|Viet_Nam|NA|NA|Dengue_1|2015-12-16|2015.95616438356"	"Southern_Vietnam"
"PP269725.1|Viet_Nam|NA|NA|Dengue_1|2015-11-11|2015.8602739726"	"Southern_Vietnam"
"PP269750.1|Viet_Nam|NA|NA|Dengue_1|2016-12-14|2016.95068493151"	"Southern_Vietnam"
"PP269785.1|Viet_Nam|NA|NA|Dengue_1|2017-06-28|2017.48767123288"	"Southern_Vietnam"
"PP269812.1|Viet_Nam|NA|NA|Dengue_1|2018-01-10|2018.02465753425"	"Southern_Vietnam"
"PP269799.1|Viet_Nam|NA|NA|Dengue_1|2017-08-22|2017.63835616438"	"Southern_Vietnam"
"PP087792.1|Taiwan|Yunlin|NA|Dengue_1|2023-06-15|2023.45205479452"	"Taiwan"
"PP234952.1|Philippines|NA|NA|Dengue_1|2019-07-01|2019.49589041096"	"Philippines"
"PP269458.1|Viet_Nam|NA|NA|Dengue_1|2011-05-24|2011.39178082192"	"Southern_Vietnam"
"PP269473.1|Viet_Nam|NA|NA|Dengue_1|2012-08-07|2012.59726027397"	"Southern_Vietnam"
"PP269518.1|Viet_Nam|NA|NA|Dengue_1|2011-07-29|2011.57260273973"	"Southern_Vietnam"
"PP269507.1|Viet_Nam|NA|NA|Dengue_1|2011-06-09|2011.43561643836"	"Southern_Vietnam"
"PP269513.1|Viet_Nam|NA|NA|Dengue_1|2011-12-23|2011.97534246575"	"Southern_Vietnam"
"PP269519.1|Viet_Nam|NA|NA|Dengue_1|2011-11-09|2011.85479452055"	"Southern_Vietnam"
"PP269523.1|Viet_Nam|NA|NA|Dengue_1|2012-07-11|2012.52328767123"	"Southern_Vietnam"
"PP269534.1|Viet_Nam|NA|NA|Dengue_1|2013-07-22|2013.55342465753"	"Southern_Vietnam"
"PP269551.1|Viet_Nam|NA|NA|Dengue_1|2013-01-08|2013.01917808219"	"Southern_Vietnam"
"PP269557.1|Viet_Nam|NA|NA|Dengue_1|2013-10-11|2013.77534246575"	"Southern_Vietnam"
"PP269577.1|Viet_Nam|NA|NA|Dengue_1|2014-11-14|2014.86849315069"	"Southern_Vietnam"
"PP269603.1|Viet_Nam|NA|NA|Dengue_1|2013-10-07|2013.76438356164"	"Southern_Vietnam"
"PP269614.1|Viet_Nam|NA|NA|Dengue_1|2015-08-10|2015.60547945205"	"Southern_Vietnam"
"PP269646.1|Viet_Nam|NA|NA|Dengue_1|2014-07-18|2014.54246575342"	"Southern_Vietnam"
"PP269645.1|Viet_Nam|NA|NA|Dengue_1|2013-12-02|2013.91780821918"	"Southern_Vietnam"
"PP269637.1|Viet_Nam|NA|NA|Dengue_1|2013-12-05|2013.92602739726"	"Southern_Vietnam"
"PP269632.1|Viet_Nam|NA|NA|Dengue_1|2015-01-28|2015.07397260274"	"Southern_Vietnam"
